N,W_mld,W_sld,K_mld,K_sld,damping,starts,converged_runs,all_converged,max_iterations,max_residual,solution_spread_inf
2,8.0,4.0,1,3,0.4,25,25,True,62,1.6011636461144008e-12,3.5621505745098148e-12
2,8.0,4.0,1,6,0.4,25,25,True,64,1.581845765485923e-12,3.591016373150069e-12
2,8.0,4.0,3,1,0.4,25,25,True,62,1.6074919173547642e-12,3.6010083803716952e-12
2,8.0,4.0,3,3,0.4,25,25,True,70,1.7003065622134272e-12,4.259703700881801e-12
2,8.0,4.0,3,6,0.4,25,25,True,74,1.7316148515078567e-12,4.515054996545587e-12
2,8.0,4.0,6,1,0.4,25,25,True,65,1.6242007738753728e-12,3.811451154689394e-12
2,8.0,4.0,6,3,0.4,25,25,True,76,1.7570389587717727e-12,4.619082893952964e-12
2,8.0,4.0,6,6,0.4,25,25,True,82,1.7897905379982149e-12,5.1454396299277505e-12
2,8.0,8.0,1,1,0.4,25,25,True,60,1.5877299475164364e-12,3.5149660959632456e-12
2,8.0,8.0,1,3,0.4,25,25,True,64,1.6008305792070132e-12,3.662292691331004e-12
2,8.0,8.0,1,6,0.4,25,25,True,66,1.6553425297161084e-12,3.786193580879171e-12
2,8.0,8.0,3,1,0.4,25,25,True,65,1.6090462295892394e-12,3.816058580241588e-12
2,8.0,8.0,3,3,0.4,25,25,True,73,1.7293944054586063e-12,4.534594921778989e-12
2,8.0,8.0,3,6,0.4,25,25,True,76,1.6936452240656763e-12,4.508615703002761e-12
2,8.0,8.0,6,1,0.4,25,25,True,69,1.681543793097262e-12,4.225619854025808e-12
2,8.0,8.0,6,3,0.4,25,25,True,78,1.7621459846850485e-12,4.865219338512361e-12
2,8.0,8.0,6,6,0.4,25,25,True,82,1.7974510768681284e-12,5.25091081726714e-12
2,8.0,16.0,1,1,0.4,25,25,True,60,1.5651924201165457e-12,3.4663383274846638e-12
2,8.0,16.0,1,3,0.4,25,25,True,64,1.6289192217300297e-12,3.787858915416109e-12
2,8.0,16.0,1,6,0.4,25,25,True,65,1.6120438317557273e-12,3.82849307811739e-12
2,8.0,16.0,3,1,0.4,25,25,True,64,1.6266987756807794e-12,3.70492525547661e-12
2,8.0,16.0,3,3,0.4,25,25,True,69,1.7065238111513281e-12,4.280686916047216e-12
2,8.0,16.0,3,6,0.4,25,25,True,71,1.7175150190951172e-12,4.414024701304697e-12
2,8.0,16.0,6,1,0.4,25,25,True,65,1.5957235532937375e-12,3.752997912442879e-12
2,8.0,16.0,6,3,0.4,25,25,True,70,1.7050805212193154e-12,4.3227643686805095e-12
2,8.0,16.0,6,6,0.4,25,25,True,73,1.7141843500212417e-12,4.494293825985096e-12
2,16.0,4.0,1,1,0.4,25,25,True,56,1.5388801344329295e-12,3.1850633241958803e-12
2,16.0,4.0,1,3,0.4,25,25,True,58,1.5260015473472777e-12,3.163025397157071e-12
2,16.0,4.0,1,6,0.4,25,25,True,59,1.52522439123004e-12,3.2385205628315816e-12
2,16.0,4.0,3,1,0.4,25,25,True,59,1.5021317523178368e-12,3.135047776936517e-12
2,16.0,4.0,3,3,0.4,25,25,True,62,1.5892842597509116e-12,3.474776022471815e-12
2,16.0,4.0,3,6,0.4,25,25,True,63,1.6129320101754274e-12,3.658184866139891e-12
2,16.0,4.0,6,1,0.4,25,25,True,60,1.5863976798868862e-12,3.4824365613417285e-12
2,16.0,4.0,6,3,0.4,25,25,True,65,1.638911228951656e-12,3.797295811125423e-12
2,16.0,4.0,6,6,0.4,25,25,True,67,1.6638912470057221e-12,3.7914116290949096e-12
2,16.0,8.0,1,1,0.4,25,25,True,58,1.4891421429297225e-12,3.1370461783808423e-12
2,16.0,8.0,1,3,0.4,25,25,True,59,1.567412866165796e-12,3.3056890558214036e-12
2,16.0,8.0,1,6,0.4,25,25,True,60,1.5452084056732929e-12,3.323230579610481e-12
2,16.0,8.0,3,1,0.4,25,25,True,61,1.592836973429712e-12,3.5782488083668795e-12
2,16.0,8.0,3,3,0.4,25,25,True,64,1.5918377727075494e-12,3.699929251865797e-12
2,16.0,8.0,3,6,0.4,25,25,True,65,1.638467139741806e-12,3.817612892476063e-12
2,16.0,8.0,6,1,0.4,25,25,True,63,1.6410206526984439e-12,3.7909675398850595e-12
2,16.0,8.0,6,3,0.4,25,25,True,67,1.6727730312027234e-12,3.972711049016198e-12
2,16.0,8.0,6,6,0.4,25,25,True,69,1.6850965067760626e-12,3.9042102883968255e-12
2,16.0,16.0,1,1,0.4,25,25,True,57,1.5711876244495215e-12,3.3726355042063005e-12
2,16.0,16.0,1,3,0.4,25,25,True,59,1.5578649481540197e-12,3.3685276790151875e-12
2,16.0,16.0,1,6,0.4,25,25,True,60,1.5815126985785355e-12,3.4585667663122877e-12
2,16.0,16.0,3,1,0.4,25,25,True,60,1.5865087021893487e-12,3.5371705564557487e-12
2,16.0,16.0,3,3,0.4,25,25,True,63,1.6271428648906294e-12,3.631539513548887e-12
2,16.0,16.0,3,6,0.4,25,25,True,63,1.584843367652411e-12,3.640865386955738e-12
2,16.0,16.0,6,1,0.4,25,25,True,61,1.6050494267005888e-12,3.6219915955371107e-12
2,16.0,16.0,6,3,0.4,25,25,True,64,1.6316947792915926e-12,3.810951554328312e-12
2,16.0,16.0,6,6,0.4,25,25,True,64,1.6038281813735011e-12,3.767874900972856e-12
3,4.0,4.0,1,1,0.4,25,25,True,58,1.4410694859634532e-12,3.0868640976677852e-12
3,4.0,4.0,1,3,0.4,25,25,True,65,1.6239232181192165e-12,3.817168803266213e-12
3,4.0,4.0,1,6,0.4,25,25,True,72,1.7112977701572163e-12,4.320321878026334e-12
3,4.0,4.0,3,1,0.4,25,25,True,62,1.6145973447123652e-12,3.6811664827496315e-12
3,4.0,4.0,3,3,0.4,25,25,True,77,1.6894263765721007e-12,4.562239475092156e-12
3,4.0,4.0,3,6,0.4,25,25,True,93,1.8667289936047382e-12,6.0066396301294844e-12
3,4.0,4.0,6,1,0.4,25,25,True,62,1.6170953465177718e-12,3.595179709492413e-12
3,4.0,4.0,6,3,0.4,25,25,True,84,1.8173240690089187e-12,5.338396391607603e-12
